000000	24	XEROX CORPORATION
000001	24	XEROX CORPORATION
000002	24	XEROX CORPORATION
000003	24	XEROX CORPORATION
000004	24	XEROX CORPORATION
000005	24	XEROX CORPORATION
000006	24	XEROX CORPORATION
000007	24	XEROX CORPORATION
000008	24	XEROX CORPORATION
000009	24	XEROX CORPORATION
00000A	24	OMRON TATEISI ELECTRONICS CO.
00000B	24	MATRIX CORPORATION
00000C	24	Cisco Systems, Inc
00000D	24	FIBRONICS LTD.
00000E	24	FUJITSU LIMITED
00000F	24	NEXT, INC.
000010	24	SYTEK INC.
000011	24	NORMEREL SYSTEMES
000012	24	INFORMATION TECHNOLOGY LIMITED
000013	24	CAMEX
000014	24	NETRONIX
000015	24	DATAPOINT CORPORATION
000016	24	DU PONT PIXEL SYSTEMS     .
000017	24	Oracle
000018	24	WEBSTER COMPUTER CORPORATION
000019	24	APPLIED DYNAMICS INTERNATIONAL
00001A	24	ADVANCED MICRO DEVICES
00001B	24	Novell, Inc.
00001C	24	BELL TECHNOLOGIES
00001D	24	Cabletron Systems, Inc.
00001E	24	TELSIST INDUSTRIA ELECTRONICA
00001F	24	Telco Systems, Inc.
000020	24	DATAINDUSTRIER DIAB AB
000021	24	SUREMAN COMP. & COMMUN. CORP.
000022	24	VISUAL TECHNOLOGY INC.
000023	24	ABB INDUSTRIAL SYSTEMS AB
000024	24	CONNECT AS
000025	24	RAMTEK CORP.
000026	24	SHA-KEN CO., LTD.
000027	24	JAPAN RADIO COMPANY
000028	24	PRODIGY SYSTEMS CORPORATION
000029	24	IMC NETWORKS CORP.
00002A	24	TRW - SEDD/INP
00002B	24	CRISP AUTOMATION, INC
00002C	24	AUTOTOTE LIMITED
00002D	24	CHROMATICS INC
00002E	24	SOCIETE EVIRA
00002F	24	TIMEPLEX INC.
000030	24	VG LABORATORY SYSTEMS LTD
000031	24	QPSX COMMUNICATIONS, LTD.
000032	24	Marconi plc
000033	24	EGAN MACHINERY COMPANY
000034	24	NETWORK RESOURCES CORPORATION
000035	24	SPECTRAGRAPHICS CORPORATION
000036	24	ATARI CORPORATION
000037	24	OXFORD METRICS LIMITED
000038	24	CSS LABS
000039	24	TOSHIBA CORPORATION
00003A	24	CHYRON CORPORATION
00003B	24	i Controls, Inc.
00003C	24	AUSPEX SYSTEMS INC.
00003D	24	UNISYS
00003E	24	SIMPACT
00003F	24	SYNTREX, INC.
000040	24	APPLICON, INC.
000041	24	ICE CORPORATION
000042	24	METIER MANAGEMENT SYSTEMS LTD.
000043	24	MICRO TECHNOLOGY
000044	24	CASTELLE CORPORATION
000045	24	FORD AEROSPACE & COMM. CORP.
000046	24	OLIVETTI NORTH AMERICA
000047	24	NICOLET INSTRUMENTS CORP.
000048	24	Seiko Epson Corporation
000049	24	APRICOT COMPUTERS, LTD
00004A	24	ADC CODENOLL TECHNOLOGY CORP.
00004B	24	ICL DATA OY
00004C	24	NEC Corporation
00004D	24	DCI CORPORATION
00004E	24	AMPEX CORPORATION
00004F	24	LOGICRAFT, INC.
000050	24	RADISYS CORPORATION
000051	24	HOB ELECTRONIC GMBH & CO. KG
000052	24	Intrusion.com, Inc.
000053	24	COMPUCORP
000054	24	Schneider Electric
000055	24	COMMISSARIAT A L`ENERGIE ATOM.
000056	24	DR. B. STRUCK
000057	24	SCITEX CORPORATION LTD.
000058	24	RACORE COMPUTER PRODUCTS INC.
000059	24	Hellige GMBH
00005A	24	SysKonnect GmbH
00005B	24	ELTEC ELEKTRONIK AG
00005C	24	TELEMATICS INTERNATIONAL INC.
00005D	24	CS TELECOM
00005E	24	ICANN, IANA Department
00005F	24	Sumitomo Electric Industries, Ltd
000060	24	Kontron Europe GmbH
000061	24	GATEWAY COMMUNICATIONS
000062	24	BULL HN INFORMATION SYSTEMS
000063	24	BARCO CONTROL ROOMS GMBH
000064	24	Yokogawa Digital Computer Corporation
000065	24	Network General Corporation
000066	24	TALARIS SYSTEMS, INC.
000067	24	SOFT * RITE, INC.
000068	24	ROSEMOUNT CONTROLS
000069	24	CONCORD COMMUNICATIONS INC
00006A	24	COMPUTER CONSOLES INC.
00006B	24	Silicon Graphics
00006C	24	Schneider Electric
00006D	24	CRAY COMMUNICATIONS, LTD.
00006E	24	Artisoft Inc.
00006F	24	Madge Ltd.
000070	24	HCL LIMITED
000071	24	ADRA SYSTEMS INC.
000072	24	MINIWARE TECHNOLOGY
000073	24	SIECOR CORPORATION
000074	24	RICOH COMPANY LTD.
000075	24	Nortel Networks
000076	24	ABEKAS VIDEO SYSTEM
000077	24	INTERPHASE CORPORATION
000078	24	LABTAM LIMITED
000079	24	NETWORTH INCORPORATED
00007A	24	DANA COMPUTER INC.
00007B	24	RESEARCH MACHINES
00007C	24	AMPERE INCORPORATED
00007D	24	Oracle Corporation
00007E	24	CLUSTRIX CORPORATION
00007F	24	LINOTYPE-HELL AG
000080	24	CRAY COMMUNICATIONS A/S
000081	24	Bay Networks
000082	24	LECTRA SYSTEMES SA
000083	24	TADPOLE TECHNOLOGY PLC
000084	24	SUPERNET
000085	24	CANON INC.
000086	24	MEGAHERTZ CORPORATION
000087	24	HITACHI, LTD.
000088	24	Brocade Communications Systems LLC
000089	24	CAYMAN SYSTEMS INC.
00008A	24	DATAHOUSE INFORMATION SYSTEMS
00008B	24	INFOTRON
00008C	24	Alloy Computer Products (Australia) Pty Ltd
00008D	24	Cryptek Inc.
00008E	24	SOLBOURNE COMPUTER, INC.
00008F	24	Raytheon
000090	24	MICROCOM
000091	24	ANRITSU CORPORATION
000092	24	COGENT DATA TECHNOLOGIES
000093	24	PROTEON INC.
000094	24	ASANTE TECHNOLOGIES
000095	24	SONY TEKTRONIX CORP.
000096	24	MARCONI ELECTRONICS LTD.
000097	24	Dell EMC
000098	24	CROSSCOMM CORPORATION
000099	24	MTX, INC.
00009A	24	RC COMPUTER A/S
00009B	24	INFORMATION INTERNATIONAL, INC
00009C	24	ROLM MIL-SPEC COMPUTERS
00009D	24	LOCUS COMPUTING CORPORATION
00009E	24	MARLI S.A.
00009F	24	AMERISTAR TECHNOLOGIES INC.
0000A0	24	SANYO Electric Co., Ltd.
0000A1	24	MARQUETTE ELECTRIC CO.
0000A2	24	Bay Networks
0000A3	24	NETWORK APPLICATION TECHNOLOGY
0000A4	24	ACORN COMPUTERS LIMITED
0000A5	24	Tattile SRL
0000A6	24	NETWORK GENERAL CORPORATION
0000A7	24	NETWORK COMPUTING DEVICES INC.
0000A8	24	Stratus Technologies
0000A9	24	NETWORK SYSTEMS CORP.
0000AA	24	XEROX CORPORATION
0000AB	24	LOGIC MODELING CORPORATION
0000AC	24	CONWARE COMPUTER CONSULTING
0000AD	24	BRUKER INSTRUMENTS INC.
0000AE	24	DASSAULT ELECTRONIQUE
0000AF	24	Canberra Industries, Inc.
0000B0	24	RND-RAD NETWORK DEVICES
0000B1	24	Alpha Micro
